ID,Name,Title,Firm,Firm Type,Country,Focus,Email,Market Focus,Deal Size,Stage Focus,Source,Email_Validated,Company_Verified,LinkedIn_URL,Investment_Focus_Detailed,Last_Enriched,Enrichment_Source
261,Timothy Taylor,Partner,Outback Capital,Investment Fund,Australia,Exploration,timothy.taylor@outback.com.au,Junior Mining,$26M,Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
262,Timothy Williams,Managing Director,Aussie Resources Fund,Investment Fund,Australia,Base Metals,williams@aussie.com,Junior Mining,$39M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
263,James Rodriguez,Senior Investment Manager,Northern Resources Fund,Family Office,Canada,Gold Mining,james.rodriguez@northern.com,Junior Mining,$26M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
264,John Thomas,Investment Director,Northern Resources Fund,Boutique Investment Bank,Canada,Gold Mining,jthomas@northern.ca,Junior Mining,$26M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
265,Kevin Martin,Managing Director,Outback Capital,Private Equity,Australia,Exploration,kmartin@outback.com.au,Junior Mining,$28M,Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
266,William Harris,Investment Director,Aurora Resources Fund,Family Office,Canada,Gold Mining,williamh@aurora.com,Junior Mining,$10M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
267,Brian Wright,Senior Investment Manager,Northern Resources Fund,Private Equity,Canada,Copper Mining,brian.wright@northern.com,Junior Mining,$14M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
268,Paul Walker,Senior Advisor,Boomerang Investment Group,Private Equity,Australia,Production Assets,paul.walker@boomerang.com.au,Junior Mining,$1M,Production,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
269,Timothy Garcia,Managing Director,Boreal Investment Partners,Boutique Investment Bank,Canada,Gold Mining,tgarcia@boreal.com,Junior Mining,$10M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
270,Kenneth Jackson,Vice President - Resources,Maple Capital Partners,Family Office,Canada,Copper Mining,jackson@maple.com,Junior Mining,$39M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
271,Scott Thomas,Portfolio Manager,Polaris Investment Group,Boutique Investment Bank,Canada,Exploration Finance,scott.thomas@polaris.com,Junior Mining,$41M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
272,Richard Thomas,Portfolio Manager,Outback Capital,Stockbroker,Australia,Base Metals,richard.thomas@outback.com.au,Junior Mining,$39M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
273,Michael Young,Principal,Great White Capital,Private Equity,Canada,Copper Mining,young@great.com,Junior Mining,$43M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
274,Stephen Brown,Resources Analyst,Aussie Resources Fund,Stockbroker,Australia,Mining & Resources,sbrown@aussie.com.au,Junior Mining,$11M,Pre-Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
275,Matthew Wright,Portfolio Manager,Northern Resources Fund,Boutique Investment Bank,Canada,Copper Mining,mattheww@northern.com,Junior Mining,$28M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
276,Michael Brown,Partner,Canadian Mining Ventures,Family Office,Canada,Precious Metals,michaelb@canadian.com,Junior Mining,$4M,Pre-Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
277,Michael Lee,Principal,Aussie Resources Fund,Stockbroker,Australia,Base Metals,michael.lee@aussie.com,Junior Mining,$31M,Pre-Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
278,Daniel Rodriguez,Vice President - Resources,Arctic Capital Management,Boutique Investment Bank,Canada,Lithium/Battery Metals,rodriguez@arctic.com,Junior Mining,$10M,Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
279,Timothy Harris,Head of Mining,Pacific Northwest Capital,Boutique Investment Bank,Canada,Development Stage Mining,timothyh@pacific.com,Junior Mining,$20M,Pre-Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
280,Joseph Thompson,Partner,Canadian Mining Ventures,Private Equity,Canada,Copper Mining,jthompson@canadian.ca,Junior Mining,$3M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
281,Kenneth Davis,Managing Director,Maple Capital Partners,Boutique Investment Bank,Canada,Exploration Finance,kennethd@maple.com,Junior Mining,$8M,Exploration,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
282,George Wilson,Partner,Melbourne Resources Fund,Stockbroker,Australia,Lithium/Battery Metals,gwilson@melbourne.com,Junior Mining,$32M,Development,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
283,Simon Jones,Principal,Digger Resources,Stockbroker,Australia,Production Assets,simon.jones@digger.com,Junior Mining,$7M,Pre-Production,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
284,Thomas Lewis,Partner,Boreal Investment Partners,Family Office,Canada,Mining & Resources,tlewis@boreal.com,Junior Mining,$46M,Exploration,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
285,Peter White,Resources Analyst,Digger Resources,Stockbroker,Australia,Production Assets,pwhite@digger.com.au,Junior Mining,$2M,Exploration,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
286,James Brown,Senior Advisor,Perth Ventures,Investment Fund,Australia,Iron Ore,james.brown@perth.com.au,Junior Mining,$28M,Pre-Production,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
287,Nicholas Johnson,Partner,Boreal Investment Partners,Boutique Investment Bank,Canada,Mining & Resources,johnson@boreal.com,Junior Mining,$33M,Pre-Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
288,Christopher Martin,Principal,Northern Resources Fund,Family Office,Canada,Development Stage Mining,cmartin@northern.ca,Junior Mining,$15M,Exploration,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
289,Michael Clark,Managing Director,Digger Resources,Stockbroker,Australia,Gold Mining,mclark@digger.com.au,Junior Mining,$19M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
290,David Williams,Partner,Coral Sea Capital,Stockbroker,Australia,Exploration,williams@coral.com,Junior Mining,$29M,Exploration,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
291,Andrew Harris,Senior Investment Manager,Polaris Investment Group,Boutique Investment Bank,Canada,Gold Mining,andrewh@polaris.com,Junior Mining,$27M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
292,Richard Clark,Senior Advisor,Pacific Mining Partners,Stockbroker,Australia,Gold Mining,rclark@pacific.com.au,Junior Mining,$17M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
293,Michael Harris,Head of Mining,Canadian Mining Ventures,Private Equity,Canada,Development Stage Mining,mharris@canadian.com,Junior Mining,$36M,Exploration,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
294,Christopher Rodriguez,Vice President - Resources,Northern Resources Fund,Private Equity,Canada,Precious Metals,christopher.rodriguez@northern.com,Junior Mining,$42M,Development,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
295,Brian Campbell,Head of Resources,Aussie Resources Fund,Stockbroker,Australia,Gold Mining,bcampbell@aussie.com.au,Junior Mining,$30M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
296,Joseph Smith,Investment Director,Canadian Mining Ventures,Boutique Investment Bank,Canada,Gold Mining,smith@canadian.com,Junior Mining,$34M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
297,Joseph Hall,Senior Investment Manager,Boreal Investment Partners,Private Equity,Canada,Precious Metals,hall@boreal.com,Junior Mining,$39M,Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
298,Eric Thompson,Partner,True North Capital,Private Equity,Canada,Copper Mining,eric.thompson@true.com,Junior Mining,$42M,Exploration,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
299,Robert Wright,Principal,Pacific Northwest Capital,Family Office,Canada,Development Stage Mining,robert.wright@pacific.ca,Junior Mining,$1M,Pre-Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
300,Andrew Jones,Partner,Polaris Investment Group,Private Equity,Canada,Development Stage Mining,ajones@polaris.com,Junior Mining,$40M,Exploration,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
301,Patrick Allen,Investment Director,Maple Capital Partners,Boutique Investment Bank,Canada,Copper Mining,patrick.allen@maple.com,Junior Mining,$20M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
302,Scott Martinez,Vice President - Resources,Pacific Northwest Capital,Private Equity,Canada,Gold Mining,martinez@pacific.com,Junior Mining,$23M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
303,Robert Williams,Investment Director,Pacific Northwest Capital,Boutique Investment Bank,Canada,Lithium/Battery Metals,rwilliams@pacific.ca,Junior Mining,$38M,Development,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
304,Andrew Williams,Partner,Perth Ventures,Stockbroker,Australia,Lithium/Battery Metals,andreww@perth.com,Junior Mining,$6M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
305,Joseph Lewis,Managing Director,Aurora Resources Fund,Private Equity,Canada,Development Stage Mining,jlewis@aurora.ca,Junior Mining,$47M,Exploration,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
306,Brian Morris,Portfolio Manager,Melbourne Resources Fund,Stockbroker,Australia,Exploration,brian.morris@melbourne.com,Junior Mining,$28M,Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
307,Jeffrey Ryan,Resources Analyst,Outback Capital,Private Equity,Australia,Lithium/Battery Metals,jeffrey.ryan@outback.com,Junior Mining,$6M,Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
308,Andrew Jones,Investment Manager,Digger Resources,Stockbroker,Australia,Exploration,ajones@digger.com.au,Junior Mining,$28M,Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
309,Joseph Thompson,Investment Director,Yukon Ventures,Boutique Investment Bank,Canada,Exploration Finance,jthompson@yukon.com,Junior Mining,$6M,Exploration,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
310,Richard Garcia,Principal,Pacific Northwest Capital,Private Equity,Canada,Lithium/Battery Metals,garcia@pacific.com,Junior Mining,$35M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
311,Paul Harrison,Head of Resources,Digger Resources,Private Equity,Australia,Copper Mining,paulh@digger.com,Junior Mining,$28M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
312,Gary Murray,Managing Director,Perth Ventures,Stockbroker,Australia,Gold Mining,gmurray@perth.com,Junior Mining,$8M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
313,Stephen Ryan,Portfolio Manager,Coral Sea Capital,Investment Fund,Australia,Lithium/Battery Metals,sryan@coral.com.au,Junior Mining,$26M,Development,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
314,Stephen Walker,Vice President - Resources,Polaris Investment Group,Private Equity,Canada,Copper Mining,walker@polaris.com,Junior Mining,$50M,Exploration,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
315,Brian Johnson,Head of Mining,Maple Capital Partners,Family Office,Canada,Precious Metals,brianj@maple.com,Junior Mining,$46M,Development,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
316,Anthony Ryan,Resources Analyst,Digger Resources,Private Equity,Australia,Lithium/Battery Metals,anthonyr@digger.com,Junior Mining,$5M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
317,Joseph Lewis,Head of Mining,Aurora Resources Fund,Private Equity,Canada,Precious Metals,jlewis@aurora.ca,Junior Mining,$19M,Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
318,William Young,Partner,Arctic Capital Management,Private Equity,Canada,Mining & Resources,william.young@arctic.com,Junior Mining,$34M,Pre-Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
319,George Wilson,Partner,Kangaroo Ventures,Investment Fund,Australia,Production Assets,gwilson@kangaroo.com,Junior Mining,$12M,Pre-Production,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
320,Brian Lee,Principal,Boreal Investment Partners,Family Office,Canada,Lithium/Battery Metals,lee@boreal.com,Junior Mining,$46M,Development,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
321,Ryan Allen,Managing Director,Aurora Resources Fund,Boutique Investment Bank,Canada,Exploration Finance,ryan.allen@aurora.ca,Junior Mining,$27M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
322,Steven Taylor,Senior Investment Manager,Northern Resources Fund,Boutique Investment Bank,Canada,Exploration Finance,taylor@northern.com,Junior Mining,$43M,Exploration,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
323,Stephen Ryan,Partner,Melbourne Resources Fund,Private Equity,Australia,Exploration,stephen.ryan@melbourne.com.au,Junior Mining,$19M,Exploration,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
324,Mark Morgan,Resources Analyst,Aussie Resources Fund,Private Equity,Australia,Iron Ore,mark.morgan@aussie.com.au,Junior Mining,$3M,Development,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
325,Robert Smith,Partner,Great White Capital,Family Office,Canada,Exploration Finance,rsmith@great.ca,Junior Mining,$17M,Exploration,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
326,Jason Jones,Head of Resources,Kangaroo Ventures,Stockbroker,Australia,Base Metals,jason.jones@kangaroo.com,Junior Mining,$8M,Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
327,Nicholas Allen,Portfolio Manager,Great White Capital,Private Equity,Canada,Mining & Resources,nicholas.allen@great.ca,Junior Mining,$32M,Exploration,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
328,Jeffrey Brown,Principal,Arctic Capital Management,Private Equity,Canada,Mining & Resources,jeffreyb@arctic.com,Junior Mining,$23M,Development,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
329,Paul Garcia,Portfolio Manager,Polaris Investment Group,Private Equity,Canada,Copper Mining,paulg@polaris.com,Junior Mining,$45M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
330,Robert King,Managing Director,Aussie Resources Fund,Stockbroker,Australia,Mining & Resources,robert.king@aussie.com.au,Junior Mining,$20M,Exploration,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
331,Christopher Hall,Managing Director,Maple Capital Partners,Boutique Investment Bank,Canada,Copper Mining,christopher.hall@maple.ca,Junior Mining,$12M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
332,Stephen Jones,Investment Manager,Aussie Resources Fund,Investment Fund,Australia,Gold Mining,sjones@aussie.com.au,Junior Mining,$41M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
333,Mark Thomas,Managing Director,Pacific Mining Partners,Stockbroker,Australia,Iron Ore,markt@pacific.com,Junior Mining,$37M,Production,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
334,Eric Lewis,Vice President - Resources,Arctic Capital Management,Family Office,Canada,Exploration Finance,lewis@arctic.com,Junior Mining,$41M,Exploration,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
335,Brian Moore,Vice President - Resources,Aurora Resources Fund,Boutique Investment Bank,Canada,Exploration Finance,brianm@aurora.com,Junior Mining,$29M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
336,Joseph Rodriguez,Managing Director,Arctic Capital Management,Boutique Investment Bank,Canada,Precious Metals,joseph.rodriguez@arctic.ca,Junior Mining,$20M,Pre-Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
337,Jeffrey Murray,Senior Advisor,Perth Ventures,Private Equity,Australia,Lithium/Battery Metals,jeffreym@perth.com,Junior Mining,$7M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
338,John Reed,Managing Director,Outback Capital,Investment Fund,Australia,Copper Mining,john.reed@outback.com.au,Junior Mining,$10M,Exploration,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
339,David Lee,Managing Director,Aurora Resources Fund,Private Equity,Canada,Copper Mining,david.lee@aurora.com,Junior Mining,$3M,Exploration,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
340,David Young,Head of Mining,Boreal Investment Partners,Private Equity,Canada,Copper Mining,david.young@boreal.com,Junior Mining,$46M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
341,Jason Rodriguez,Portfolio Manager,Boreal Investment Partners,Family Office,Canada,Lithium/Battery Metals,jason.rodriguez@boreal.com,Junior Mining,$35M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
342,Kevin Anderson,Principal,Aussie Resources Fund,Private Equity,Australia,Production Assets,kanderson@aussie.com,Junior Mining,$8M,Development,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
343,Andrew Davis,Managing Director,Maple Capital Partners,Boutique Investment Bank,Canada,Exploration Finance,andrew.davis@maple.ca,Junior Mining,$8M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
344,Mark Anderson,Senior Advisor,Boomerang Investment Group,Private Equity,Australia,Mining & Resources,manderson@boomerang.com,Junior Mining,$26M,Pre-Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
345,Gary Morgan,Managing Director,Perth Ventures,Private Equity,Australia,Production Assets,garym@perth.com,Junior Mining,$11M,Exploration,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
346,Patrick Moore,Managing Director,Maple Capital Partners,Family Office,Canada,Precious Metals,patrickm@maple.com,Junior Mining,$39M,Pre-Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
347,Joseph King,Investment Director,Timberwolf Capital,Private Equity,Canada,Exploration Finance,king@timberwolf.com,Junior Mining,$20M,Exploration,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
348,Jason Garcia,Managing Director,Polaris Investment Group,Private Equity,Canada,Development Stage Mining,garcia@polaris.com,Junior Mining,$38M,Pre-Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
349,Joseph Martinez,Managing Director,Northern Resources Fund,Boutique Investment Bank,Canada,Base Metals,jmartinez@northern.ca,Junior Mining,$10M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
350,Christopher Clark,Portfolio Manager,Polaris Investment Group,Boutique Investment Bank,Canada,Precious Metals,christopherc@polaris.com,Junior Mining,$33M,Development,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
351,Anthony Robinson,Head of Resources,Coral Sea Capital,Investment Fund,Australia,Lithium/Battery Metals,arobinson@coral.com,Junior Mining,$48M,Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
352,Gary Harris,Managing Director,Boreal Investment Partners,Boutique Investment Bank,Canada,Base Metals,gharris@boreal.ca,Junior Mining,$46M,Development,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
353,Gary Anderson,Principal,Coral Sea Capital,Stockbroker,Australia,Lithium/Battery Metals,anderson@coral.com,Junior Mining,$2M,Exploration,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
354,Mark Lee,Principal,Arctic Capital Management,Private Equity,Canada,Base Metals,mlee@arctic.com,Junior Mining,$46M,Pre-Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
355,Donald Thomas,Senior Advisor,Outback Capital,Stockbroker,Australia,Mining & Resources,dthomas@outback.com,Junior Mining,$37M,Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
356,Eric White,Partner,Northern Resources Fund,Boutique Investment Bank,Canada,Copper Mining,ewhite@northern.ca,Junior Mining,$42M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
357,Kevin Clark,Investment Manager,Coral Sea Capital,Investment Fund,Australia,Exploration,kclark@coral.com.au,Junior Mining,$27M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
358,Robert Jones,Principal,Pacific Northwest Capital,Boutique Investment Bank,Canada,Base Metals,rjones@pacific.com,Junior Mining,$37M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
359,John White,Principal,Southern Cross Capital,Investment Fund,Australia,Base Metals,white@southern.com,Junior Mining,$39M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
360,Paul Harris,Senior Investment Manager,Northern Resources Fund,Private Equity,Canada,Copper Mining,harris@northern.com,Junior Mining,$28M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
361,Matthew Lee,Portfolio Manager,Pacific Northwest Capital,Private Equity,Canada,Gold Mining,lee@pacific.com,Junior Mining,$43M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
362,Ronald Robinson,Head of Resources,Pacific Mining Partners,Stockbroker,Australia,Exploration,rrobinson@pacific.com,Junior Mining,$19M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
363,William Johnson,Vice President - Resources,Aurora Resources Fund,Family Office,Canada,Exploration Finance,wjohnson@aurora.ca,Junior Mining,$37M,Development,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
364,Donald Murray,Resources Analyst,Southern Cross Capital,Investment Fund,Australia,Base Metals,donald.murray@southern.com.au,Junior Mining,$49M,Development,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
365,Paul Cooper,Managing Director,Coral Sea Capital,Stockbroker,Australia,Lithium/Battery Metals,paulc@coral.com,Junior Mining,$17M,Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
366,George Thompson,Managing Director,Boomerang Investment Group,Investment Fund,Australia,Exploration,georget@boomerang.com,Junior Mining,$43M,Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
367,William Rodriguez,Principal,Maple Capital Partners,Boutique Investment Bank,Canada,Lithium/Battery Metals,rodriguez@maple.com,Junior Mining,$40M,Exploration,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
368,Robert Walker,Vice President - Resources,Arctic Capital Management,Boutique Investment Bank,Canada,Base Metals,robertw@arctic.com,Junior Mining,$20M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
369,Stephen Anderson,Vice President - Resources,Canadian Mining Ventures,Boutique Investment Bank,Canada,Gold Mining,stephen.anderson@canadian.com,Junior Mining,$43M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
370,Kenneth Wilson,Partner,Southern Cross Capital,Private Equity,Australia,Lithium/Battery Metals,kwilson@southern.com.au,Junior Mining,$41M,Development,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
371,Brian Mitchell,Portfolio Manager,Melbourne Resources Fund,Stockbroker,Australia,Gold Mining,brian.mitchell@melbourne.com,Junior Mining,$7M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
372,Scott White,Vice President - Resources,Arctic Capital Management,Boutique Investment Bank,Canada,Exploration Finance,scott.white@arctic.ca,Junior Mining,$33M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
373,Anthony Jones,Investment Manager,Coral Sea Capital,Private Equity,Australia,Mining & Resources,anthonyj@coral.com,Junior Mining,$37M,Pre-Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
374,Brian Jones,Vice President - Resources,Boreal Investment Partners,Family Office,Canada,Development Stage Mining,bjones@boreal.com,Junior Mining,$17M,Development,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
375,Gary Thomas,Resources Analyst,Aussie Resources Fund,Private Equity,Australia,Production Assets,gary.thomas@aussie.com.au,Junior Mining,$1M,Production,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
376,Edward Harris,Resources Analyst,Melbourne Resources Fund,Stockbroker,Australia,Iron Ore,harris@melbourne.com,Junior Mining,$9M,Exploration,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
377,Christopher Harris,Head of Mining,Great White Capital,Private Equity,Canada,Mining & Resources,christopherh@great.com,Junior Mining,$15M,Development,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
378,Michael Moore,Senior Investment Manager,Polaris Investment Group,Boutique Investment Bank,Canada,Precious Metals,michael.moore@polaris.com,Junior Mining,$22M,Development,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
379,Michael Allen,Portfolio Manager,Timberwolf Capital,Family Office,Canada,Gold Mining,mallen@timberwolf.ca,Junior Mining,$6M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
380,Jason Thomas,Managing Director,Maple Capital Partners,Boutique Investment Bank,Canada,Gold Mining,jason.thomas@maple.com,Junior Mining,$7M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
381,Stephen Taylor,Portfolio Manager,Perth Ventures,Private Equity,Australia,Mining & Resources,staylor@perth.com.au,Junior Mining,$41M,Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
382,Paul Williams,Managing Director,Arctic Capital Management,Boutique Investment Bank,Canada,Precious Metals,paul.williams@arctic.com,Junior Mining,$36M,Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
383,Mark Taylor,Vice President - Resources,True North Capital,Family Office,Canada,Exploration Finance,taylor@true.com,Junior Mining,$18M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
384,John Harris,Portfolio Manager,Great White Capital,Family Office,Canada,Lithium/Battery Metals,johnh@great.com,Junior Mining,$10M,Development,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
